source_category,product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
meals-with-meat,Ravioli pur boeuf,3256225428861,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:meals', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:pasta-dishes', 'en:pastas', 'en:stuffed-pastas', 'en:meals-with-meat', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:beef-dishes', 'en:meat-ravioli', 'en:canned-meals', 'en:beef-ravioli', 'en:canned-raviolis']",2,[],"['en:e14xx', 'en:e330']",82.0,1.7,0.8,2.1,2.4,3.5,0.83
meals-with-meat,Piemontaise Au jambon,3564700330913,"['en:meats-and-their-products', 'en:meals', 'en:prepared-salads', 'en:meals-with-meat', 'en:pork-meals', 'en:potato-dishes', 'en:potato-salads', 'en:piemontese-salads', 'en:piemontese-salads-with-ham']",3,[],"['en:e202', 'en:e250', 'en:e316']",118.0,7.9,0.9,0.7,1.5,3.6,0.8
meals-with-meat,Ma recette façon Cassoulet 100 % volaille,3261055938008,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:bean-dishes', 'en:canned-meals', 'en:cassoulets']",6,[],"['en:e250', 'en:e316', 'en:e407a', 'en:e450', 'en:e451', 'en:e452']",114.0,4.3,1.2,0.8,4.2,7.7,0.7
meals-with-meat,Saucisse Grillée & Purée de Pomme de Terre,3188720001679,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:pork-meals', 'en:microwave-meals']",6,[],"['en:e224', 'en:e250', 'en:e262', 'en:e262i', 'en:e316', 'en:e330', 'en:e415']",121.0,7.9,3.4,0.5,,6.9,1.2
meals-with-meat,"Poulet bulgogi, kinchi et riz cuisiné",3270160866113,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals']",1,[],['en:e14xx'],142.0,4.1,0.7,2.0,0.3,6.9,0.5
meals-with-meat,Ravioli pur boeuf Boîte de 800g,3256225428878,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:beef-ravioli', 'en:canned-raviolis']",2,[],"['en:e14xx', 'en:e330']",82.0,1.7,0.8,2.1,2.4,3.5,0.83
meals-with-meat,Tartinable - Poulet nature,26052632,"['en:meats-and-their-products', 'en:spreads', 'en:meals', 'en:salted-spreads', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-curry']",8,[],"['en:e14xx', 'en:e202', 'en:e260', 'en:e270', 'en:e330', 'en:e392', 'en:e412', 'en:e415']",298.0,27.0,2.6,2.9,,10.0,1.6
meals-with-meat,Riz cantonais,3270190202769,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:seeds', 'en:cereals-and-their-products', 'en:frozen-foods', 'en:meals', 'en:cereal-grains', 'en:meals-with-meat', 'en:rices', 'en:pan-fried-dishes', 'en:pork-meals', 'fr:cereales-preparees', 'en:frozen-ready-made-meals', 'en:prepared-rices', 'en:fried-rice']",1,[],['en:e300'],137.0,2.2,0.5,0.5,0.6,5.2,0.65
meals-with-meat,Seafood & chicken paella,4056489127307,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:paella']",0,[],[],87.0,1.2000000476837,0.30000001192093,1.3999999761581,,5.0999999046326,0.87000000476837
meals-with-meat,Jambon - champignons,3245412149085,"['en:meals', 'en:pizzas-pies-and-quiches', 'en:meals-with-meat', 'en:pizzas', 'en:pork-meals', 'en:ham-pizzas', 'en:cured-ham-pizza', 'en:pizza-with-ham-and-cheese', 'en:regina-pizza']",5,[],"['en:di-and-triphosphates', 'en:e250', 'en:e301', 'en:e325', 'en:e450', 'en:e451', 'en:e500']",205.0,5.3,2.6,2.6,2.1,9.5,1.3
